"model","importance","wis","dispersion","overpred","underpred","0.01","0.025","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","0.975","0.99","target_end_date","location","target"
"Ens.wo.CovidAnalytics-DELPHI",NA,61.164227280183,38.8096018878504,22.3546253923326,0,246.080294456888,278.999751526716,301.88243313628,329.382709251045,356.495527880771,382.624432723385,405.933276329917,430.437088805335,450.767563266167,473.747182712338,497.285787646741,517.681139162487,543.752515066184,568.908230889084,595.08260161687,624.929180781459,655.932691917354,690.540081582164,736.478649623967,793.031471834943,854.826955013953,920.458223721096,980.987094259026,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.UMass-MechBayes",NA,36.2750884434533,29.2492858453389,7.02580259811441,0,241.775470307708,271.115277891828,291.654663429095,313.044417004905,335.36277379914,356.693262532762,376.551391345454,396.058763681963,412.28251042931,430.834209026989,448.026940840773,463.306139162487,483.386361872152,503.446204574433,522.942654453728,544.30750590483,565.189576901817,587.971251772786,620.736403705598,660.119764081083,699.804724721138,733.592697355983,772.416918408205,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.USC-SI_kJalpha",NA,49.2088420085083,35.2047123685724,14.004129639936,0,248.781106744875,271.715821736401,290.994961050189,320.019395479961,346.016882458528,371.678321381007,392.663383338174,413.744955674684,432.998877370575,451.940872506851,471.64721572591,489.431139162487,512.618720986978,536.06721211963,561.617997389845,588.993697897551,620.226906105574,654.960154608881,693.277998607578,739.930956073803,804.568272262118,872.679820997076,933.26390585547,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.RobertWalraven-ESG",NA,65.348493437537,40.5962222583824,24.7522711791547,0,235.105470307708,271.096527891828,296.620913429095,327.166917004905,356.33527379914,384.097012532762,408.806391345454,434.568763681963,456.06501042931,480.151709026989,504.760690840773,526.209889162487,553.335111872152,579.562454574433,606.842654453728,637.85625590483,670.117076901817,706.126251772786,753.697653705598,812.306014081083,877.147224721137,945.420197355983,1009.02066840821,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.COVIDhub-baseline",NA,65.0936392117754,35.510368735646,29.5832704761294,0,268.650470307708,305.240277891828,331.279663429095,362.419417004905,386.967471846121,408.455297778115,427.767250379044,449.121656435891,466.948188773593,487.992886988769,509.912058316948,528.931139162487,553.595166522698,577.14960023339,601.400403468718,628.699187821649,656.560740613454,687.331076746036,728.619626037821,779.701061644058,830.806348674877,886.199613175141,935.429302432046,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.Karlen-pypm",NA,46.5717134434533,37.2415630192519,9.33015042420137,0,218.275470307708,250.115277891828,272.417163429095,297.556917004905,323.62527379914,348.318262532762,371.326391345454,395.183763681963,414.53251042931,436.209209026989,459.026940840773,479.056139162487,504.323861872152,527.821204574433,552.392654453728,581.64500590483,611.064576901817,643.971251772786,688.361403705598,742.744764081083,801.304724721138,862.830197355983,918.629418408205,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.SteveMcConnell-CovidComplete",NA,45.9539483288414,32.2534706279476,13.7004777008938,0,231.837970307708,268.365277891828,292.467163429095,319.719417004905,345.41277379914,369.605762532762,390.713891345454,412.833763681963,430.68251042931,451.096709026989,472.039440840773,489.806139162487,509.373861872152,528.046204574433,547.780154453728,571.25750590483,596.002076901817,624.521251772786,664.648903705598,715.894764081083,773.567224721137,838.467697355983,902.604418408205,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.UCSD_NEU-DeepGLEAM",NA,54.5761291251064,39.4555164004696,15.1206127246368,0,221.172239413654,253.91870002054,277.992737671721,306.867661778805,334.901175462001,361.77125946578,385.706202739226,410.77769512998,431.634193127594,455.112317373009,479.13767083272,500.00573,526.364733040595,551.820647981195,578.29962963575,608.468056213832,639.818913319069,674.805628631279,721.200410597428,778.312580190444,840.949503212465,907.309426674636,966.760462678074,"2021-01-02","MA","4wk ahead inc death"
"Ens.wo.BPagano-RtDriven",NA,59.9335947331892,39.2318064888171,20.7017882443721,0,237.525270307708,271.355310391828,294.927608429095,323.178484504905,350.78503754914,377.302488782762,400.942952595454,425.743658681963,446.34871917931,469.588576526989,493.378780840773,514.021659162487,540.340561872152,565.747877074433,592.182485703728,622.30365090483,653.604055651816,688.543065522786,734.870179955598,791.916736581083,854.462819721138,920.783704855983,982.223158408205,"2021-01-02","MA","4wk ahead inc death"
"CovidAnalytics-DELPHI",9.54,28.848250684899,15.2036988985793,0,13.6445517863197,262.000899867975,288.144623529715,310.629668172298,336.553484615493,354.044160496122,367.945195220336,379.871045242111,390.580827145553,400.50503615566,409.922140015737,419.033296983616,428,436.966703016384,446.077859984263,455.49496384434,465.419172854447,476.128954757889,488.054804779664,501.955839503878,519.446515384507,545.370331827702,567.855376470285,593.999100132025,"2021-01-09","MA","4wk ahead inc death"
"UMass-MechBayes",-7.66,115.732173913043,79.1234782608696,36.6086956521739,0,220,264,292,344,392,435,471,509,542,579,619,682,728,778,829,891,979,1069,1143,1264,1459,1618,1777,"2021-01-09","MA","4wk ahead inc death"
"USC-SI_kJalpha",-11.39,280.994896905982,33.182299082637,247.812597823345,0,581.157863514332,635.083695844858,650.457636756963,709.189537213348,715.616303040378,737.809479331092,748.473671742386,754.978436252019,785.516501921526,812.481663615011,838.580085736555,847,853.847159480096,856.863446082314,870.410704629063,881.580085736555,890.084931741293,1020.80720438062,1206.23618329753,1321.94800332302,1335.48602700227,1411.70740669146,1455.34551783532,"2021-01-09","MA","4wk ahead inc death"
"RobertWalraven-ESG",9.02,25.7486217391304,4.53427391304348,0,21.214347826087,391.61,399.41,406.12,413.86,419.09,423.24,426.8,430,432.96,435.77,438.48,441.15,443.82,446.54,449.35,452.31,455.51,459.07,463.22,468.45,476.19,482.9,490.7,"2021-01-09","MA","4wk ahead inc death"
"COVIDhub-baseline",14.59,73.3214343534087,43.8216208770132,0,29.4998134763956,0,0,0,58.0263182631826,121.879395793958,173.550225502255,217.055858058581,253.30351403514,283.626009760098,309.350169501695,332.173413234132,354,375.14677796778,398.509523095231,424.537221372214,454.558622586226,491.087955879559,534.889446894469,587.281945319453,649.378958789589,760.94950299503,866.001029260291,983.241179211794,"2021-01-09","MA","4wk ahead inc death"
